gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT06_2754023,complete,,LFL2,2023,Spring,0,2023-01-10 18:15:01,1,13.01,9,Red,bot,Caliste,oe:player:e2af2b779499aa25ab9a9c10c9a5ffd,ViV Esport,oe:team:2d9e95ecefb34c32ff1a997ebe372f9,Draven,Heimerdinger,Wukong,Akali,Syndra,Sylas,2436,1,4,2,5,16,20,0,0,0,0,0,0,0,0,0.3941,0.8867,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1,0,21281,524.1626,0.264794,480.5172,565.0985,15,0.3695,12,0.2956,0,55,1.3547,20103,14858,365.9606,0.29006,18450,,399,349,50,,,9.8276,3877,3164,81,3573,3026,79,304,138,2,1,0,0,1,0,0,5531,5692,129,5706,4847,118,-175,845,11,1,1,0,2,0,1
ESPORTSTMNT06_2754023,complete,,LFL2,2023,Spring,0,2023-01-10 18:15:01,1,13.01,10,Red,sup,XERSUS,oe:player:d7e184d6adf836adfaea94a2dfb2385,ViV Esport,oe:team:2d9e95ecefb34c32ff1a997ebe372f9,Amumu,Heimerdinger,Wukong,Akali,Syndra,Sylas,2436,1,1,7,7,16,20,0,0,0,0,0,0,0,0,0.3941,0.8867,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,7717,190.0739,0.0960208,583.1034,559.4335,62,1.5271,9,0.2217,15,128,3.1527,9291,4046,99.6552,0.0789859,9025,,32,32,0,,,0.7882,2200,2806,17,2018,2563,0,182,243,17,0,1,1,0,1,1,3154,3569,22,3076,3760,3,78,-191,19,0,1,2,0,3,1
ESPORTSTMNT06_2754023,complete,,LFL2,2023,Spring,0,2023-01-10 18:15:01,1,13.01,100,Blue,team,,,beGenius ESC,oe:team:607baf04091e515e195644cb08ec21c,,Fiora,Kindred,Sejuani,Nautilus,Leona,2436,0,20,16,44,20,16,2,0,0,0,0,,,,0.4926,0.8867,0,3,4,2,4,0,1,0,0,0,1,,1,0,1,2,0,1,2,1,0,5,11,1,1,6,2,0,3,106526,2623.7931,,2675.7389,3482.3645,119,2.9310,55,1.3547,49,298,7.3399,80627,54402,1339.9507,,74800,0.0223048,,1111,225,,,32.9064,15969,19120,324,16330,18838,346,-361,282,-22,2,2,2,2,3,2,24771,30084,498,24098,29554,532,673,530,-34,4,6,3,3,4,4
ESPORTSTMNT06_2754023,complete,,LFL2,2023,Spring,0,2023-01-10 18:15:01,1,13.01,200,Red,team,,,ViV Esport,oe:team:2d9e95ecefb34c32ff1a997ebe372f9,,Heimerdinger,Wukong,Akali,Syndra,Sylas,2436,1,16,20,28,16,20,1,0,0,0,1,,,,0.3941,0.8867,1,4,3,4,2,0,0,0,0,1,3,,0,1,0,0,2,0,1,2,1,11,5,0,0,2,6,3,0,80368,1979.5074,,3522.3399,4410.9113,119,2.9310,53,1.3054,40,330,8.1281,77449,51224,1261.6749,,73150,-0.0223048,,1102,261,,,33.5714,16330,18838,346,15969,19120,324,361,-282,22,2,3,2,2,2,2,24098,29554,532,24771,30084,498,-673,-530,34,3,4,4,4,6,3
ESPORTSTMNT06_2755035,complete,,LFL2,2023,Spring,0,2023-01-10 19:20:51,1,13.01,1,Blue,top,Maynter,oe:player:63dd174baf11b12006e5dc29c2269a1,Team du Sud,oe:team:1dc6411295a36bd29c29b1096ba859d,Aatrox,Zac,Sylas,Sejuani,Jarvan IV,Ornn,1980,1,7,2,8,20,7,1,1,0,0,0,0,0,1,0.6061,0.8182,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,14740,446.6667,0.226902,650.1515,756.2727,10,0.3030,5,0.1515,8,30,0.9091,13473,9158,277.5152,0.232654,12600,,242,230,12,,,7.3333,3313,4124,72,3931,5136,73,-618,-1012,-1,1,0,2,2,0,0,4960,6173,106,6127,7007,100,-1167,-834,6,1,0,2,2,0,0
ESPORTSTMNT06_2755035,complete,,LFL2,2023,Spring,0,2023-01-10 19:20:51,1,13.01,2,Blue,jng,Boukada,oe:player:b137ce57a15794ffac86eaeff085326,Team du Sud,oe:team:1dc6411295a36bd29c29b1096ba859d,Wukong,Zac,Sylas,Sejuani,Jarvan IV,Ornn,1980,1,3,2,12,20,7,0,0,0,0,0,0,0,0,0.6061,0.8182,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,0,0,17217,521.7273,0.265032,991.8182,1066.7576,11,0.3333,16,0.4848,10,64,1.9394,11577,7262,220.0606,0.184488,9375,,207,28,179,,,6.2727,2909,2849,61,3476,3479,61,-567,-630,0,0,0,0,0,2,1,4743,5156,100,5318,5496,93,-575,-340,7,1,0,1,0,3,1
ESPORTSTMNT06_2755035,complete,,LFL2,2023,Spring,0,2023-01-10 19:20:51,1,13.01,3,Blue,mid,Phantomles,oe:player:260f4f388d990d8940cfde52de0bda3,Team du Sud,oe:team:1dc6411295a36bd29c29b1096ba859d,Syndra,Zac,Sylas,Sejuani,Jarvan IV,Ornn,1980,1,5,1,8,20,7,1,1,0,0,0,0,0,0,0.6061,0.8182,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,18038,546.6061,0.27767,218.3636,125.5455,16,0.4848,11,0.3333,6,52,1.5758,14451,10136,307.1515,0.257499,12050,,306,286,20,,,9.2727,3437,4841,98,3028,4509,83,409,332,15,0,0,0,0,0,0,5246,7209,150,5213,7363,137,33,-154,13,0,0,1,1,1,0
ESPORTSTMNT06_2755035,complete,,LFL2,2023,Spring,0,2023-01-10 19:20:51,1,13.01,4,Blue,bot,Matiaslaclasse,oe:player:bff6ec55f2b7078b86cd981a4ea52a2,Team du Sud,oe:team:1dc6411295a36bd29c29b1096ba859d,Varus,Zac,Sylas,Sejuani,Jarvan IV,Ornn,1980,1,3,1,7,20,7,0,0,0,0,0,0,0,0,0.6061,0.8182,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1,0,11359,344.2121,0.174856,319.8182,183.6970,11,0.3333,9,0.2727,4,44,1.3333,13534,9219,279.3636,0.234204,11150,,319,299,20,,,9.6667,3045,2877,80,3118,3152,82,-73,-275,-2,0,0,0,0,0,0,4892,5625,135,4839,4952,115,53,673,20,0,0,0,1,1,0
ESPORTSTMNT06_2755035,complete,,LFL2,2023,Spring,0,2023-01-10 19:20:51,1,13.01,5,Blue,sup,HONOR,oe:player:fd976f550f84430dc88941effcf786a,Team du Sud,oe:team:1dc6411295a36bd29c29b1096ba859d,Renata Glasc,Zac,Sylas,Sejuani,Jarvan IV,Ornn,1980,1,2,1,13,20,7,0,0,0,0,0,0,0,0,0.6061,0.8182,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,3608,109.3333,0.0555402,271.4545,286.0606,58,1.7576,9,0.2727,14,102,3.0909,7903,3588,108.7273,0.0911544,6800,,33,33,0,,,1.0000,2090,2369,15,2242,2532,5,-152,-163,10,0,0,0,0,0,0,3104,3260,19,3349,3368,7,-245,-108,12,0,1,0,0,1,1
ESPORTSTMNT06_2755035,complete,,LFL2,2023,Spring,0,2023-01-10 19:20:51,1,13.01,6,Red,top,Sotsy,oe:player:8ee33a7b49463c941b579a317f06ba3,Akroma,oe:team:e05fc2a9f99e906ea564a672d75f839,Camille,Zeri,Nami,Caitlyn,Fiora,Heimerdinger,1980,0,2,3,0,7,20,0,0,0,0,1,1,0,0,0.2121,0.8182,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,6919,209.6667,0.143572,573.0606,625.4545,11,0.3333,15,0.4545,8,48,1.4545,13014,8699,263.6061,0.271689,13000,,246,242,4,,,7.4545,3931,5136,73,3313,4124,72,618,1012,1,2,0,0,1,0,2,6127,7007,100,4960,6173,106,1167,834,-6,2,0,0,1,0,2
ESPORTSTMNT06_2755035,complete,,LFL2,2023,Spring,0,2023-01-10 19:20:51,1,13.01,7,Red,jng,Woden,oe:player:1967eab585f1569dad0aabb6aeef5e7,Akroma,oe:team:e05fc2a9f99e906ea564a672d75f839,Amumu,Zeri,Nami,Caitlyn,Fiora,Heimerdinger,1980,0,0,6,4,7,20,0,0,0,0,1,0,1,0,0.2121,0.8182,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,0,0,8180,247.8788,0.169738,856.4848,836.4242,14,0.4242,6,0.1818,14,33,1.0000,9917,5602,169.7576,0.174965,9800,,166,19,147,,,5.0303,3476,3479,61,2909,2849,61,567,630,0,0,2,1,0,0,0,5318,5496,93,4743,5156,100,575,340,-7,0,3,1,1,0,1
